id,task,job_role,complexity,task_type,creativity,human_interaction,time_taken,frequency,skill_level,Associated_Skills,Tools,Technologies,Job_Description,Automation_Risk,Tasks,Mapped_Skills,Creativity_Required,Risk_Label
70,Build predictive models,QA Engineer,Medium,Managerial,Moderate,,Full-day,Monthly,Advanced,"JavaScript, Node.js, Git, TensorFlow, SQL",Slack,"Big Data, DevOps","As a QA Engineer, your responsibilities include Build predictive models. You'll utilize skills such as JavaScript, Node.js, Git, TensorFlow, SQL and work with tools like Slack. This role often involves technologies like Big Data, DevOps.",Medium Risk,"['as a qa engineer your responsibilities include build predictive models', 'youll utilize skills such as javascript node', 'js git tensorflow sql and work with tools like slack', 'this role often involves technologies like big data devops']","['other', 'other', 'teamwork', 'other']",False,1
71,Design APIs,Data Scientist,Medium,Creative,Low,,1-3 hours,Monthly,Beginner,"Node.js, JavaScript, TensorFlow","VS Code, AWS, Tableau","Big Data, Web Development, Cloud Computing","As a Data Scientist, your responsibilities include Design APIs. You'll utilize skills such as Node.js, JavaScript, TensorFlow and work with tools like VS Code, AWS, Tableau. This role often involves technologies like Big Data, Web Development, Cloud Computing.",Medium Risk,"['as a data scientist your responsibilities include design apis', 'youll utilize skills such as node', 'js javascript tensorflow and work with tools like vs code aws tableau', 'this role often involves technologies like big data web development cloud computing']","['technical skills', 'other', 'teamwork, technical skills', 'technical skills']",True,1
72,Design wireframes and prototypes,Backend Developer,Low,Technical,Low,Moderate,Half-day,Monthly,Advanced,"Docker, SQL, Node.js","Jira, VS Code, AWS",DevOps,"As a Backend Developer, your responsibilities include Design wireframes and prototypes. You'll utilize skills such as Docker, SQL, Node.js and work with tools like Jira, VS Code, AWS. This role often involves technologies like DevOps.",Medium Risk,"['as a backend developer your responsibilities include design wireframes and prototypes', 'youll utilize skills such as docker sql node', 'js and work with tools like jira vs code aws', 'this role often involves technologies like devops']","['technical skills', 'other', 'teamwork, technical skills', 'other']",True,1
73,Develop user interfaces,QA Engineer,Low,Creative,Low,,Full-day,Occasionally,Intermediate,"Git, Agile","Tableau, Slack","Web Development, Cloud Computing, AI","As a QA Engineer, your responsibilities include Develop user interfaces. You'll utilize skills such as Git, Agile and work with tools like Tableau, Slack. This role often involves technologies like Web Development, Cloud Computing, AI.",Medium Risk,"['as a qa engineer your responsibilities include develop user interfaces', 'youll utilize skills such as git agile and work with tools like tableau slack', 'this role often involves technologies like web development cloud computing ai']","['technical skills', 'teamwork', 'technical skills']",False,1
74,Build predictive models,Software Engineer,Medium,Technical,Low,High,Half-day,Occasionally,Intermediate,"Agile, JavaScript, TensorFlow, SQL","Slack, Jira, MongoDB","Cloud Computing, DevOps, Big Data","As a Software Engineer, your responsibilities include Build predictive models. You'll utilize skills such as Agile, JavaScript, TensorFlow, SQL and work with tools like Slack, Jira, MongoDB. This role often involves technologies like Cloud Computing, DevOps, Big Data.",Medium Risk,"['as a software engineer your responsibilities include build predictive models', 'youll utilize skills such as agile javascript tensorflow sql and work with tools like slack jira mongodb', 'this role often involves technologies like cloud computing devops big data']","['other', 'teamwork', 'other']",False,1
75,Write and execute test cases,Machine Learning Engineer,Low,Technical,Moderate,Moderate,Half-day,Occasionally,Beginner,"Docker, Node.js, JavaScript","AWS, MySQL, MongoDB","Big Data, Cloud Computing, DevOps","As a Machine Learning Engineer, your responsibilities include Write and execute test cases. You'll utilize skills such as Docker, Node.js, JavaScript and work with tools like AWS, MySQL, MongoDB. This role often involves technologies like Big Data, Cloud Computing, DevOps.",Medium Risk,"['as a machine learning engineer your responsibilities include write and execute test cases', 'youll utilize skills such as docker node', 'js javascript and work with tools like aws mysql mongodb', 'this role often involves technologies like big data cloud computing devops']","['other', 'other', 'teamwork', 'other']",False,1
76,Perform code reviews,UI/UX Designer,Medium,Creative,Moderate,,Half-day,Daily,Advanced,"React, Python, Git, TensorFlow, Docker","VS Code, MongoDB","Web Development, DevOps","As a UI/UX Designer, your responsibilities include Perform code reviews. You'll utilize skills such as React, Python, Git, TensorFlow, Docker and work with tools like VS Code, MongoDB. This role often involves technologies like Web Development, DevOps.",Medium Risk,"['as a uiux designer your responsibilities include perform code reviews', 'youll utilize skills such as react python git tensorflow docker and work with tools like vs code mongodb', 'this role often involves technologies like web development devops']","['technical skills', 'teamwork, technical skills', 'technical skills']",True,1
77,Conduct user research,Backend Developer,Low,Technical,Low,High,1-3 hours,Daily,Advanced,"Python, Agile, Docker","Postman, AWS, MongoDB","Big Data, AI","As a Backend Developer, your responsibilities include Conduct user research. You'll utilize skills such as Python, Agile, Docker and work with tools like Postman, AWS, MongoDB. This role often involves technologies like Big Data, AI.",Medium Risk,"['as a backend developer your responsibilities include conduct user research', 'youll utilize skills such as python agile docker and work with tools like postman aws mongodb', 'this role often involves technologies like big data ai']","['technical skills', 'teamwork', 'other']",False,1
78,Automate infrastructure,Machine Learning Engineer,Low,Technical,Low,Low,1-3 hours,Weekly,Advanced,"TensorFlow, SQL","AWS, MySQL","Big Data, Web Development, AI","As a Machine Learning Engineer, your responsibilities include Automate infrastructure. You'll utilize skills such as TensorFlow, SQL and work with tools like AWS, MySQL. This role often involves technologies like Big Data, Web Development, AI.",Medium Risk,"['as a machine learning engineer your responsibilities include automate infrastructure', 'youll utilize skills such as tensorflow sql and work with tools like aws mysql', 'this role often involves technologies like big data web development ai']","['other', 'teamwork', 'technical skills']",False,1
79,Design APIs,Data Scientist,Medium,Creative,Moderate,,1-3 hours,Daily,Intermediate,"TensorFlow, SQL, Python",Slack,Web Development,"As a Data Scientist, your responsibilities include Design APIs. You'll utilize skills such as TensorFlow, SQL, Python and work with tools like Slack. This role often involves technologies like Web Development.",Medium Risk,"['as a data scientist your responsibilities include design apis', 'youll utilize skills such as tensorflow sql python and work with tools like slack', 'this role often involves technologies like web development']","['technical skills', 'teamwork', 'technical skills']",True,1
80,Build predictive models,Frontend Developer,Medium,Technical,Moderate,Low,Full-day,Monthly,Intermediate,"Docker, React","Jira, Tableau, AWS",Cloud Computing,"As a Frontend Developer, your responsibilities include Build predictive models. You'll utilize skills such as Docker, React and work with tools like Jira, Tableau, AWS. This role often involves technologies like Cloud Computing.",Medium Risk,"['as a frontend developer your responsibilities include build predictive models', 'youll utilize skills such as docker react and work with tools like jira tableau aws', 'this role often involves technologies like cloud computing']","['technical skills', 'teamwork', 'other']",False,1
81,Perform code reviews,Full Stack Developer,Low,Creative,Moderate,High,1-3 hours,Daily,Beginner,"Docker, JavaScript, Agile, Node.js, Git",VS Code,"AI, Web Development, Big Data","As a Full Stack Developer, your responsibilities include Perform code reviews. You'll utilize skills such as Docker, JavaScript, Agile, Node.js, Git and work with tools like VS Code. This role often involves technologies like AI, Web Development, Big Data.",Low Risk,"['as a full stack developer your responsibilities include perform code reviews', 'youll utilize skills such as docker javascript agile node', 'js git and work with tools like vs code', 'this role often involves technologies like ai web development big data']","['technical skills', 'other', 'teamwork, technical skills', 'technical skills']",False,0
82,Conduct user research,Frontend Developer,Low,Technical,High,Low,<1 hour,Monthly,Intermediate,"Git, JavaScript, TensorFlow, Node.js","AWS, VS Code, Postman","Big Data, Web Development","As a Frontend Developer, your responsibilities include Conduct user research. You'll utilize skills such as Git, JavaScript, TensorFlow, Node.js and work with tools like AWS, VS Code, Postman. This role often involves technologies like Big Data, Web Development.",Medium Risk,"['as a frontend developer your responsibilities include conduct user research', 'youll utilize skills such as git javascript tensorflow node', 'js and work with tools like aws vs code postman', 'this role often involves technologies like big data web development']","['technical skills', 'other', 'teamwork, technical skills', 'technical skills']",False,1
83,Design wireframes and prototypes,Machine Learning Engineer,Medium,Technical,Moderate,,1-3 hours,Weekly,Beginner,"Python, Agile","Postman, Jira, Slack","DevOps, Cloud Computing","As a Machine Learning Engineer, your responsibilities include Design wireframes and prototypes. You'll utilize skills such as Python, Agile and work with tools like Postman, Jira, Slack. This role often involves technologies like DevOps, Cloud Computing.",Medium Risk,"['as a machine learning engineer your responsibilities include design wireframes and prototypes', 'youll utilize skills such as python agile and work with tools like postman jira slack', 'this role often involves technologies like devops cloud computing']","['technical skills', 'teamwork', 'other']",True,1
84,Build predictive models,Software Engineer,Low,Managerial,Low,Low,<1 hour,Monthly,Advanced,"Python, Agile, Docker","AWS, Postman","Big Data, AI, Web Development","As a Software Engineer, your responsibilities include Build predictive models. You'll utilize skills such as Python, Agile, Docker and work with tools like AWS, Postman. This role often involves technologies like Big Data, AI, Web Development.",Low Risk,"['as a software engineer your responsibilities include build predictive models', 'youll utilize skills such as python agile docker and work with tools like aws postman', 'this role often involves technologies like big data ai web development']","['other', 'teamwork', 'technical skills']",False,0
85,Train and fine-tune models,UI/UX Designer,Low,Managerial,Moderate,Moderate,Half-day,Occasionally,Beginner,"Docker, JavaScript, Python, Git",MySQL,AI,"As a UI/UX Designer, your responsibilities include Train and fine-tune models. You'll utilize skills such as Docker, JavaScript, Python, Git and work with tools like MySQL. This role often involves technologies like AI.",Low Risk,"['as a uiux designer your responsibilities include train and finetune models', 'youll utilize skills such as docker javascript python git and work with tools like mysql', 'this role often involves technologies like ai']","['technical skills', 'teamwork', 'other']",True,0
86,Manage database operations,UI/UX Designer,High,Creative,Moderate,High,<1 hour,Occasionally,Advanced,"Agile, Git, JavaScript, Python",Tableau,AI,"As a UI/UX Designer, your responsibilities include Manage database operations. You'll utilize skills such as Agile, Git, JavaScript, Python and work with tools like Tableau. This role often involves technologies like AI.",Low Risk,"['as a uiux designer your responsibilities include manage database operations', 'youll utilize skills such as agile git javascript python and work with tools like tableau', 'this role often involves technologies like ai']","['technical skills', 'teamwork', 'other']",True,0
87,Analyze and clean data,QA Engineer,Medium,Managerial,Low,,<1 hour,Occasionally,Intermediate,"TensorFlow, React, Git, JavaScript, Node.js","AWS, Slack, Jira","Big Data, Cloud Computing, AI","As a QA Engineer, your responsibilities include Analyze and clean data. You'll utilize skills such as TensorFlow, React, Git, JavaScript, Node.js and work with tools like AWS, Slack, Jira. This role often involves technologies like Big Data, Cloud Computing, AI.",Medium Risk,"['as a qa engineer your responsibilities include analyze and clean data', 'youll utilize skills such as tensorflow react git javascript node', 'js and work with tools like aws slack jira', 'this role often involves technologies like big data cloud computing ai']","['problem-solving', 'other', 'teamwork', 'other']",False,1
88,Write and execute test cases,Frontend Developer,Low,Managerial,High,High,1-3 hours,Weekly,Intermediate,"Node.js, Python, JavaScript",Jira,Big Data,"As a Frontend Developer, your responsibilities include Write and execute test cases. You'll utilize skills such as Node.js, Python, JavaScript and work with tools like Jira. This role often involves technologies like Big Data.",Medium Risk,"['as a frontend developer your responsibilities include write and execute test cases', 'youll utilize skills such as node', 'js python javascript and work with tools like jira', 'this role often involves technologies like big data']","['technical skills', 'other', 'teamwork', 'other']",False,1
89,Automate infrastructure,Machine Learning Engineer,Medium,Technical,Low,,<1 hour,Monthly,Beginner,"Docker, JavaScript","MySQL, MongoDB, AWS","Cloud Computing, Web Development","As a Machine Learning Engineer, your responsibilities include Automate infrastructure. You'll utilize skills such as Docker, JavaScript and work with tools like MySQL, MongoDB, AWS. This role often involves technologies like Cloud Computing, Web Development.",Medium Risk,"['as a machine learning engineer your responsibilities include automate infrastructure', 'youll utilize skills such as docker javascript and work with tools like mysql mongodb aws', 'this role often involves technologies like cloud computing web development']","['other', 'teamwork', 'technical skills']",False,1
90,Automate infrastructure,UI/UX Designer,High,Creative,High,,<1 hour,Weekly,Intermediate,"React, Python, Docker, JavaScript",AWS,"DevOps, Cloud Computing, Big Data","As a UI/UX Designer, your responsibilities include Automate infrastructure. You'll utilize skills such as React, Python, Docker, JavaScript and work with tools like AWS. This role often involves technologies like DevOps, Cloud Computing, Big Data.",Medium Risk,"['as a uiux designer your responsibilities include automate infrastructure', 'youll utilize skills such as react python docker javascript and work with tools like aws', 'this role often involves technologies like devops cloud computing big data']","['technical skills', 'teamwork', 'other']",True,1
91,Design APIs,Software Engineer,High,Creative,Moderate,Low,<1 hour,Weekly,Advanced,"JavaScript, Docker, React, Python, Agile","MySQL, AWS","DevOps, Cloud Computing","As a Software Engineer, your responsibilities include Design APIs. You'll utilize skills such as JavaScript, Docker, React, Python, Agile and work with tools like MySQL, AWS. This role often involves technologies like DevOps, Cloud Computing.",Medium Risk,"['as a software engineer your responsibilities include design apis', 'youll utilize skills such as javascript docker react python agile and work with tools like mysql aws', 'this role often involves technologies like devops cloud computing']","['technical skills', 'teamwork', 'other']",True,1
92,Optimize algorithms,DevOps Engineer,High,Managerial,Moderate,High,Half-day,Daily,Intermediate,"Agile, SQL, JavaScript, Docker","AWS, MongoDB, Jira",Web Development,"As a DevOps Engineer, your responsibilities include Optimize algorithms. You'll utilize skills such as Agile, SQL, JavaScript, Docker and work with tools like AWS, MongoDB, Jira. This role often involves technologies like Web Development.",Medium Risk,"['as a devops engineer your responsibilities include optimize algorithms', 'youll utilize skills such as agile sql javascript docker and work with tools like aws mongodb jira', 'this role often involves technologies like web development']","['problem-solving', 'teamwork', 'technical skills']",False,1
93,Perform code reviews,Software Engineer,Low,Managerial,High,Low,Full-day,Monthly,Advanced,"TensorFlow, Node.js, Agile, JavaScript","AWS, MongoDB, Slack","Web Development, Big Data","As a Software Engineer, your responsibilities include Perform code reviews. You'll utilize skills such as TensorFlow, Node.js, Agile, JavaScript and work with tools like AWS, MongoDB, Slack. This role often involves technologies like Web Development, Big Data.",Low Risk,"['as a software engineer your responsibilities include perform code reviews', 'youll utilize skills such as tensorflow node', 'js agile javascript and work with tools like aws mongodb slack', 'this role often involves technologies like web development big data']","['technical skills', 'other', 'teamwork', 'technical skills']",False,0
94,Manage database operations,Data Scientist,High,Technical,High,Moderate,<1 hour,Occasionally,Beginner,"Python, Docker, JavaScript, Git","Tableau, MySQL",Big Data,"As a Data Scientist, your responsibilities include Manage database operations. You'll utilize skills such as Python, Docker, JavaScript, Git and work with tools like Tableau, MySQL. This role often involves technologies like Big Data.",Medium Risk,"['as a data scientist your responsibilities include manage database operations', 'youll utilize skills such as python docker javascript git and work with tools like tableau mysql', 'this role often involves technologies like big data']","['other', 'teamwork', 'other']",False,1
95,Monitor system performance,QA Engineer,High,Managerial,Low,,1-3 hours,Weekly,Intermediate,"SQL, Git, Docker","Tableau, MySQL, MongoDB",Cloud Computing,"As a QA Engineer, your responsibilities include Monitor system performance. You'll utilize skills such as SQL, Git, Docker and work with tools like Tableau, MySQL, MongoDB. This role often involves technologies like Cloud Computing.",Medium Risk,"['as a qa engineer your responsibilities include monitor system performance', 'youll utilize skills such as sql git docker and work with tools like tableau mysql mongodb', 'this role often involves technologies like cloud computing']","['other', 'teamwork', 'other']",False,1
96,Develop user interfaces,Software Engineer,High,Managerial,Moderate,High,<1 hour,Monthly,Advanced,"Node.js, SQL","AWS, MongoDB, Slack","Web Development, Cloud Computing","As a Software Engineer, your responsibilities include Develop user interfaces. You'll utilize skills such as Node.js, SQL and work with tools like AWS, MongoDB, Slack. This role often involves technologies like Web Development, Cloud Computing.",Low Risk,"['as a software engineer your responsibilities include develop user interfaces', 'youll utilize skills such as node', 'js sql and work with tools like aws mongodb slack', 'this role often involves technologies like web development cloud computing']","['technical skills', 'other', 'teamwork', 'technical skills']",False,0
97,Design APIs,DevOps Engineer,High,Technical,High,Low,Half-day,Weekly,Advanced,"JavaScript, Agile, Node.js","Tableau, AWS",AI,"As a DevOps Engineer, your responsibilities include Design APIs. You'll utilize skills such as JavaScript, Agile, Node.js and work with tools like Tableau, AWS. This role often involves technologies like AI.",Medium Risk,"['as a devops engineer your responsibilities include design apis', 'youll utilize skills such as javascript agile node', 'js and work with tools like tableau aws', 'this role often involves technologies like ai']","['technical skills', 'other', 'teamwork', 'other']",True,1
98,Write and debug code,Backend Developer,Medium,Technical,High,High,1-3 hours,Weekly,Intermediate,"Python, Docker, TensorFlow, React, Node.js",MySQL,"Cloud Computing, DevOps, Big Data","As a Backend Developer, your responsibilities include Write and debug code. You'll utilize skills such as Python, Docker, TensorFlow, React, Node.js and work with tools like MySQL. This role often involves technologies like Cloud Computing, DevOps, Big Data.",Medium Risk,"['as a backend developer your responsibilities include write and debug code', 'youll utilize skills such as python docker tensorflow react node', 'js and work with tools like mysql', 'this role often involves technologies like cloud computing devops big data']","['problem-solving, technical skills', 'other', 'teamwork', 'other']",False,1
99,Train and fine-tune models,Product Manager,High,Managerial,Moderate,Low,<1 hour,Weekly,Beginner,"Git, SQL, TensorFlow, Docker",MongoDB,DevOps,"As a Product Manager, your responsibilities include Train and fine-tune models. You'll utilize skills such as Git, SQL, TensorFlow, Docker and work with tools like MongoDB. This role often involves technologies like DevOps.",Medium Risk,"['as a product manager your responsibilities include train and finetune models', 'youll utilize skills such as git sql tensorflow docker and work with tools like mongodb', 'this role often involves technologies like devops']","['other', 'teamwork', 'other']",False,1
100,Write and execute test cases,QA Engineer,Medium,Technical,Low,High,1-3 hours,Occasionally,Intermediate,"SQL, Node.js, React","Jira, AWS","DevOps, AI","As a QA Engineer, your responsibilities include Write and execute test cases. You'll utilize skills such as SQL, Node.js, React and work with tools like Jira, AWS. This role often involves technologies like DevOps, AI.",Medium Risk,"['as a qa engineer your responsibilities include write and execute test cases', 'youll utilize skills such as sql node', 'js react and work with tools like jira aws', 'this role often involves technologies like devops ai']","['other', 'other', 'teamwork', 'other']",False,1
101,Manage database operations,Software Engineer,Low,Managerial,Moderate,,<1 hour,Monthly,Intermediate,"Agile, TensorFlow","Postman, MongoDB","AI, DevOps","As a Software Engineer, your responsibilities include Manage database operations. You'll utilize skills such as Agile, TensorFlow and work with tools like Postman, MongoDB. This role often involves technologies like AI, DevOps.",Medium Risk,"['as a software engineer your responsibilities include manage database operations', 'youll utilize skills such as agile tensorflow and work with tools like postman mongodb', 'this role often involves technologies like ai devops']","['other', 'teamwork', 'other']",False,1
102,Develop user interfaces,Backend Developer,High,Managerial,Moderate,High,1-3 hours,Monthly,Beginner,"Git, Docker, React","Postman, AWS","Web Development, AI","As a Backend Developer, your responsibilities include Develop user interfaces. You'll utilize skills such as Git, Docker, React and work with tools like Postman, AWS. This role often involves technologies like Web Development, AI.",Low Risk,"['as a backend developer your responsibilities include develop user interfaces', 'youll utilize skills such as git docker react and work with tools like postman aws', 'this role often involves technologies like web development ai']","['technical skills', 'teamwork', 'technical skills']",False,0
103,Develop user interfaces,Software Engineer,Low,Managerial,Moderate,,Half-day,Daily,Advanced,"Python, Git, TensorFlow, SQL",VS Code,"AI, Big Data","As a Software Engineer, your responsibilities include Develop user interfaces. You'll utilize skills such as Python, Git, TensorFlow, SQL and work with tools like VS Code. This role often involves technologies like AI, Big Data.",Low Risk,"['as a software engineer your responsibilities include develop user interfaces', 'youll utilize skills such as python git tensorflow sql and work with tools like vs code', 'this role often involves technologies like ai big data']","['technical skills', 'teamwork, technical skills', 'other']",False,0
104,Build predictive models,Data Scientist,Medium,Technical,Low,,1-3 hours,Weekly,Advanced,"JavaScript, React, Git, Python","MySQL, Jira, AWS","Cloud Computing, DevOps","As a Data Scientist, your responsibilities include Build predictive models. You'll utilize skills such as JavaScript, React, Git, Python and work with tools like MySQL, Jira, AWS. This role often involves technologies like Cloud Computing, DevOps.",Medium Risk,"['as a data scientist your responsibilities include build predictive models', 'youll utilize skills such as javascript react git python and work with tools like mysql jira aws', 'this role often involves technologies like cloud computing devops']","['other', 'teamwork', 'other']",False,1
105,Design wireframes and prototypes,Backend Developer,Medium,Technical,Moderate,,1-3 hours,Daily,Beginner,"Git, TensorFlow",MongoDB,"Web Development, DevOps, AI","As a Backend Developer, your responsibilities include Design wireframes and prototypes. You'll utilize skills such as Git, TensorFlow and work with tools like MongoDB. This role often involves technologies like Web Development, DevOps, AI.",Medium Risk,"['as a backend developer your responsibilities include design wireframes and prototypes', 'youll utilize skills such as git tensorflow and work with tools like mongodb', 'this role often involves technologies like web development devops ai']","['technical skills', 'teamwork', 'technical skills']",True,1
106,Test applications end-to-end,UI/UX Designer,Low,Technical,High,,<1 hour,Weekly,Advanced,"Python, JavaScript, Git",MySQL,Web Development,"As a UI/UX Designer, your responsibilities include Test applications end-to-end. You'll utilize skills such as Python, JavaScript, Git and work with tools like MySQL. This role often involves technologies like Web Development.",Medium Risk,"['as a uiux designer your responsibilities include test applications endtoend', 'youll utilize skills such as python javascript git and work with tools like mysql', 'this role often involves technologies like web development']","['technical skills', 'teamwork', 'technical skills']",True,1
107,Build predictive models,Frontend Developer,Medium,Technical,Low,High,Half-day,Weekly,Beginner,"SQL, React","Slack, Postman, MongoDB","DevOps, AI","As a Frontend Developer, your responsibilities include Build predictive models. You'll utilize skills such as SQL, React and work with tools like Slack, Postman, MongoDB. This role often involves technologies like DevOps, AI.",Medium Risk,"['as a frontend developer your responsibilities include build predictive models', 'youll utilize skills such as sql react and work with tools like slack postman mongodb', 'this role often involves technologies like devops ai']","['technical skills', 'teamwork', 'other']",False,1
108,Conduct user research,Full Stack Developer,High,Creative,High,High,Full-day,Monthly,Beginner,"Git, TensorFlow, React, Node.js, Docker","Postman, MongoDB, VS Code","Cloud Computing, AI, Web Development","As a Full Stack Developer, your responsibilities include Conduct user research. You'll utilize skills such as Git, TensorFlow, React, Node.js, Docker and work with tools like Postman, MongoDB, VS Code. This role often involves technologies like Cloud Computing, AI, Web Development.",Low Risk,"['as a full stack developer your responsibilities include conduct user research', 'youll utilize skills such as git tensorflow react node', 'js docker and work with tools like postman mongodb vs code', 'this role often involves technologies like cloud computing ai web development']","['technical skills', 'other', 'teamwork, technical skills', 'technical skills']",False,0
109,Monitor system performance,Software Engineer,Low,Technical,High,Low,Full-day,Monthly,Beginner,"TensorFlow, Python, SQL","AWS, Slack, VS Code","Big Data, AI, Cloud Computing","As a Software Engineer, your responsibilities include Monitor system performance. You'll utilize skills such as TensorFlow, Python, SQL and work with tools like AWS, Slack, VS Code. This role often involves technologies like Big Data, AI, Cloud Computing.",Medium Risk,"['as a software engineer your responsibilities include monitor system performance', 'youll utilize skills such as tensorflow python sql and work with tools like aws slack vs code', 'this role often involves technologies like big data ai cloud computing']","['other', 'teamwork, technical skills', 'other']",False,1
110,Write and debug code,Backend Developer,Medium,Technical,Low,High,Full-day,Daily,Beginner,"Python, Node.js, Git, React, Docker",VS Code,"Web Development, Big Data, AI","As a Backend Developer, your responsibilities include Write and debug code. You'll utilize skills such as Python, Node.js, Git, React, Docker and work with tools like VS Code. This role often involves technologies like Web Development, Big Data, AI.",Medium Risk,"['as a backend developer your responsibilities include write and debug code', 'youll utilize skills such as python node', 'js git react docker and work with tools like vs code', 'this role often involves technologies like web development big data ai']","['problem-solving, technical skills', 'other', 'teamwork, technical skills', 'technical skills']",False,1
111,Automate infrastructure,Backend Developer,High,Managerial,Moderate,,Half-day,Daily,Intermediate,"React, Python","VS Code, MySQL","AI, DevOps, Web Development","As a Backend Developer, your responsibilities include Automate infrastructure. You'll utilize skills such as React, Python and work with tools like VS Code, MySQL. This role often involves technologies like AI, DevOps, Web Development.",Medium Risk,"['as a backend developer your responsibilities include automate infrastructure', 'youll utilize skills such as react python and work with tools like vs code mysql', 'this role often involves technologies like ai devops web development']","['technical skills', 'teamwork, technical skills', 'technical skills']",False,1
112,Train and fine-tune models,DevOps Engineer,Medium,Managerial,High,Low,<1 hour,Weekly,Advanced,"SQL, TensorFlow, JavaScript, React, Docker",VS Code,"Web Development, Big Data","As a DevOps Engineer, your responsibilities include Train and fine-tune models. You'll utilize skills such as SQL, TensorFlow, JavaScript, React, Docker and work with tools like VS Code. This role often involves technologies like Web Development, Big Data.",Medium Risk,"['as a devops engineer your responsibilities include train and finetune models', 'youll utilize skills such as sql tensorflow javascript react docker and work with tools like vs code', 'this role often involves technologies like web development big data']","['other', 'teamwork, technical skills', 'technical skills']",False,1
113,Design APIs,DevOps Engineer,Medium,Creative,Low,Low,Half-day,Monthly,Beginner,"SQL, JavaScript, Node.js, Agile, Python",AWS,"Web Development, DevOps, AI","As a DevOps Engineer, your responsibilities include Design APIs. You'll utilize skills such as SQL, JavaScript, Node.js, Agile, Python and work with tools like AWS. This role often involves technologies like Web Development, DevOps, AI.",Medium Risk,"['as a devops engineer your responsibilities include design apis', 'youll utilize skills such as sql javascript node', 'js agile python and work with tools like aws', 'this role often involves technologies like web development devops ai']","['technical skills', 'other', 'teamwork', 'technical skills']",True,1
114,Conduct user research,Machine Learning Engineer,Low,Creative,High,Moderate,Full-day,Daily,Beginner,"Git, Node.js, Python",MongoDB,"AI, DevOps","As a Machine Learning Engineer, your responsibilities include Conduct user research. You'll utilize skills such as Git, Node.js, Python and work with tools like MongoDB. This role often involves technologies like AI, DevOps.",Low Risk,"['as a machine learning engineer your responsibilities include conduct user research', 'youll utilize skills such as git node', 'js python and work with tools like mongodb', 'this role often involves technologies like ai devops']","['other', 'other', 'teamwork', 'other']",False,0
115,Design APIs,Backend Developer,Medium,Technical,High,Moderate,Half-day,Occasionally,Intermediate,"React, Git, JavaScript","VS Code, Postman, MySQL","AI, DevOps, Big Data","As a Backend Developer, your responsibilities include Design APIs. You'll utilize skills such as React, Git, JavaScript and work with tools like VS Code, Postman, MySQL. This role often involves technologies like AI, DevOps, Big Data.",Medium Risk,"['as a backend developer your responsibilities include design apis', 'youll utilize skills such as react git javascript and work with tools like vs code postman mysql', 'this role often involves technologies like ai devops big data']","['technical skills', 'teamwork, technical skills', 'other']",True,1
116,Optimize algorithms,Product Manager,Low,Technical,High,,Full-day,Occasionally,Advanced,"SQL, React, Docker, Agile, Git","MongoDB, Postman",Web Development,"As a Product Manager, your responsibilities include Optimize algorithms. You'll utilize skills such as SQL, React, Docker, Agile, Git and work with tools like MongoDB, Postman. This role often involves technologies like Web Development.",Medium Risk,"['as a product manager your responsibilities include optimize algorithms', 'youll utilize skills such as sql react docker agile git and work with tools like mongodb postman', 'this role often involves technologies like web development']","['problem-solving', 'teamwork', 'technical skills']",False,1
117,Define product roadmaps,Software Engineer,High,Technical,High,High,<1 hour,Weekly,Intermediate,"React, JavaScript, SQL, Git, Docker",Slack,DevOps,"As a Software Engineer, your responsibilities include Define product roadmaps. You'll utilize skills such as React, JavaScript, SQL, Git, Docker and work with tools like Slack. This role often involves technologies like DevOps.",Medium Risk,"['as a software engineer your responsibilities include define product roadmaps', 'youll utilize skills such as react javascript sql git docker and work with tools like slack', 'this role often involves technologies like devops']","['other', 'teamwork', 'other']",False,1
118,Manage database operations,Frontend Developer,Medium,Creative,High,,<1 hour,Occasionally,Advanced,"Docker, TensorFlow","Postman, Jira, MySQL",AI,"As a Frontend Developer, your responsibilities include Manage database operations. You'll utilize skills such as Docker, TensorFlow and work with tools like Postman, Jira, MySQL. This role often involves technologies like AI.",Medium Risk,"['as a frontend developer your responsibilities include manage database operations', 'youll utilize skills such as docker tensorflow and work with tools like postman jira mysql', 'this role often involves technologies like ai']","['technical skills', 'teamwork', 'other']",False,1
119,Monitor system performance,Frontend Developer,Medium,Technical,High,High,1-3 hours,Occasionally,Advanced,"Git, Docker, React, Agile, Python","Tableau, Jira, AWS","DevOps, AI, Cloud Computing","As a Frontend Developer, your responsibilities include Monitor system performance. You'll utilize skills such as Git, Docker, React, Agile, Python and work with tools like Tableau, Jira, AWS. This role often involves technologies like DevOps, AI, Cloud Computing.",Medium Risk,"['as a frontend developer your responsibilities include monitor system performance', 'youll utilize skills such as git docker react agile python and work with tools like tableau jira aws', 'this role often involves technologies like devops ai cloud computing']","['technical skills', 'teamwork', 'other']",False,1
